Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Kyle Manzardo,CLE,1B,23,25,73,4,16,9,0,0,7,0,0,3,21,0,1,1,.219,.256,.342,.598
Parker Meadows,DET,OF,24,32,73,9,7,1,1,2,3,3,1,11,32,0,0,1,.096,.224,.219,.443
Luke Maile,CIN,C,33,28,72,5,13,2,0,1,5,0,0,7,27,0,0,4,.181,.289,.250,.539
Brandon Lowe,TB,2B,29,23,72,10,15,3,2,2,14,0,0,9,21,0,0,2,.208,.313,.389,.702
Christian Bethancourt,MIA,C,32,32,71,8,11,3,0,1,5,0,0,3,18,2,0,1,.155,.200,.239,.439
Robbie Grossman,CWS,OF,34,25,71,6,15,4,0,0,4,2,0,13,20,0,1,0,.211,.329,.268,.597
Patrick Wisdom,CHC,3B,32,30,70,7,14,4,1,3,12,3,0,6,25,0,1,2,.200,.278,.414,.692
Ramon Laureano,CLE,OF,29,31,70,7,10,3,0,1,4,3,1,7,32,0,1,5,.143,.265,.229,.494
Mark Vientos,NYM,DH,24,21,70,12,22,4,0,5,12,0,0,7,16,0,1,0,.314,.372,.586,.958
Nick Allen,OAK,SS,25,28,70,4,12,2,0,1,3,0,0,5,19,2,0,0,.171,.227,.243,.470
Garrett Cooper,BOS,1B,33,23,67,3,11,4,0,0,4,0,0,3,21,0,0,2,.164,.222,.224,.446
Donovan Solano,SD,2B,36,23,67,5,22,3,0,1,6,0,0,5,10,0,1,2,.328,.387,.418,.805
Daniel Vogelbach,TOR,DH,31,29,66,5,13,5,0,1,8,0,0,8,17,0,0,0,.197,.284,.318,.602
Jose Azocar,SD,OF,28,52,66,11,15,2,0,0,2,3,1,5,17,1,0,0,.227,.282,.258,.540
Tyler Fitzgerald,SF,OF,26,27,66,9,18,4,1,1,4,5,1,5,24,0,0,1,.273,.333,.409,.742
Kyle McCann,OAK,C,26,25,66,9,19,3,0,3,8,0,0,9,23,0,0,0,.288,.373,.470,.843
Darell Hernaiz,OAK,SS,22,29,66,7,12,0,0,0,6,1,0,6,16,1,2,0,.182,.243,.182,.425
Omar Narvaez,NYM,C,32,28,65,4,10,2,0,0,5,0,0,3,12,1,0,0,.154,.191,.185,.376
Braden Shewmake,CWS,SS,26,29,64,4,8,2,0,1,4,5,1,1,10,0,2,0,.125,.134,.203,.337
Bobby Dalbec,BOS,1B,28,28,63,5,10,2,0,1,7,2,0,6,33,1,0,1,.159,.243,.238,.481
Corey Julks,CWS,OF,28,18,62,7,17,5,0,2,6,2,0,8,13,0,0,0,.274,.357,.452,.809
Alika Williams,PIT,SS,25,23,62,8,13,1,2,0,2,1,0,2,14,4,0,0,.210,.234,.290,.524
Lenyn Sosa,CWS,2B,24,20,61,4,14,2,0,1,4,0,0,3,17,1,0,1,.230,.277,.311,.588
Miguel Sano,LAA,1B,31,21,61,8,16,3,0,1,5,0,0,8,27,0,1,1,.262,.352,.361,.713
Kyle Higashioka,SD,C,34,21,61,6,11,2,0,4,6,0,0,1,23,0,0,0,.180,.194,.410,.604
Matt Carpenter,STL,DH,38,19,60,6,12,1,0,2,5,0,1,7,19,0,0,1,.200,.294,.317,.611
Pablo Reyes,BOS,SS,30,21,60,4,11,2,0,0,5,1,2,3,19,0,0,1,.183,.234,.217,.451
Mike Ford,CIN,DH,31,17,60,2,9,0,1,1,4,0,0,2,15,0,0,0,.150,.177,.233,.410
Joey Bart,PIT,C,27,22,60,7,16,3,0,4,12,0,0,8,19,0,0,1,.267,.362,.517,.879
Hunter Goodman,COL,OF,24,20,60,6,10,4,0,2,8,1,1,2,18,0,0,2,.167,.219,.333,.552
Victor Scott,STL,OF,23,20,59,6,5,3,0,0,2,2,0,2,15,0,2,2,.085,.138,.136,.274
Cristian Pache,PHI,OF,25,28,59,6,12,2,1,0,8,0,0,8,24,0,1,0,.203,.294,.271,.565
Josh Lowe,TB,OF,26,17,58,5,13,5,0,2,4,0,0,4,18,0,0,0,.224,.274,.414,.688
Michael Toglia,COL,OF,25,18,58,8,9,0,1,4,12,0,0,1,23,0,0,1,.155,.183,.397,.580
Jordan Walker,STL,OF,22,20,58,4,9,4,1,0,4,0,0,6,18,0,2,1,.155,.239,.259,.498
Tucker Barnhart,ARI,C,33,22,57,10,8,2,0,0,1,1,0,12,24,2,0,0,.140,.290,.175,.465
Jason Heyward,LAD,OF,34,21,57,10,14,4,1,2,6,2,0,5,9,0,1,1,.246,.313,.456,.769
Aaron Hicks,LAA,OF,34,18,57,6,8,0,0,1,5,0,0,6,23,0,0,0,.140,.222,.193,.415
Pavin Smith,ARI,OF,28,27,56,9,15,5,0,3,14,0,0,4,9,0,1,0,.268,.311,.518,.829
Nick Loftin,KC,1B,25,24,56,11,16,0,0,0,8,0,0,9,9,1,2,0,.286,.373,.286,.659
TJ Friedl,CIN,OF,28,16,56,10,13,2,0,3,13,5,0,7,12,0,0,5,.232,.368,.429,.797
Esteury Ruiz,OAK,OF,25,29,55,10,11,2,1,2,8,5,4,4,20,2,2,2,.200,.270,.382,.652
Dairon Blanco,KC,OF,31,38,55,17,14,3,0,1,4,13,3,5,15,1,1,1,.255,.323,.364,.687
Francisco Alvarez,NYM,C,22,16,55,8,13,4,0,1,8,1,0,4,14,0,0,0,.236,.288,.364,.652
Jon Berti,NYY,SS,34,17,55,6,15,0,0,1,6,4,1,4,13,1,0,0,.273,.322,.327,.649
Austin Hedges,CLE,C,31,20,54,5,7,1,0,1,7,1,0,2,21,0,1,0,.130,.158,.204,.362
Tyler Soderstrom,OAK,DH,22,23,54,2,10,3,0,1,5,0,0,9,25,0,0,1,.185,.313,.296,.609
Dylan Carlson,STL,OF,25,26,54,6,9,1,0,0,3,0,0,6,15,0,0,1,.167,.262,.185,.447
Jared Walsh,TEX,1B,30,17,53,9,12,2,0,1,7,0,0,7,21,0,0,0,.226,.317,.321,.638
Garrett Stubbs,PHI,C,31,18,52,6,9,1,0,0,3,3,0,7,13,0,0,0,.173,.271,.192,.463
Chadwick Tromp,ATL,C,29,19,52,3,13,6,0,0,6,0,0,1,17,0,1,0,.250,.259,.365,.624
Austin Barnes,LAD,C,34,20,51,3,11,1,0,0,2,0,0,8,14,2,0,0,.216,.322,.235,.557
Kyren Paris,LAA,SS,22,21,51,4,6,2,0,1,5,1,0,7,17,0,0,0,.118,.224,.216,.440
Avisail Garcia,MIA,OF,32,18,50,4,12,1,0,2,2,0,0,1,13,0,0,0,.240,.255,.380,.635
Matt Thaiss,LAA,C,29,19,50,4,11,3,0,1,5,0,0,7,17,0,0,0,.220,.316,.340,.656
Miguel Andujar,OAK,OF,29,12,49,6,14,2,0,2,12,1,0,0,7,0,1,0,.286,.280,.449,.729
Andrew Knizner,TEX,C,29,21,49,3,7,0,0,1,5,0,0,1,12,0,1,0,.143,.157,.204,.361
Trent Grisham,NYY,OF,27,24,48,3,4,0,0,2,6,0,1,8,18,0,1,1,.083,.224,.208,.432
Eguy Rosario,SD,3B,24,28,48,4,12,5,0,3,6,0,0,2,19,1,0,1,.250,.294,.542,.836
Jonathan Aranda,TB,DH,26,18,47,8,10,2,0,1,3,0,0,5,14,0,0,0,.213,.288,.319,.607
Alan Trejo,COL,SS,28,21,47,1,6,0,0,0,1,0,0,0,11,1,0,0,.128,.128,.128,.256
Dane Myers,MIA,OF,28,22,46,7,10,1,1,1,8,1,0,4,18,0,1,2,.217,.302,.348,.650
Bryan Ramos,CWS,3B,22,15,46,4,9,2,0,0,2,0,0,1,8,0,1,0,.196,.208,.239,.447
Alex Jackson,TB,C,28,19,46,1,2,1,0,0,2,0,0,2,25,1,1,0,.043,.082,.065,.147
Cole Tucker,LAA,OF,27,21,45,3,8,3,1,0,3,3,1,5,16,0,1,0,.178,.255,.289,.544
Luis Guillorme,LAA,2B,29,18,45,3,13,3,0,0,2,0,0,5,10,0,1,0,.289,.353,.356,.709
Austin Slater,SF,OF,31,27,45,6,7,0,0,0,1,1,1,9,15,0,0,2,.156,.321,.156,.477
Brett Wisely,SF,2B,25,17,44,5,14,2,0,1,7,1,0,2,10,0,1,0,.318,.340,.432,.772
Luis Robert,CWS,OF,26,11,44,6,9,2,0,4,6,1,0,1,19,0,0,0,.205,.222,.523,.745
Jacob Hurtubise,CIN,OF,26,22,43,7,10,1,1,0,4,1,0,5,12,4,1,3,.233,.346,.302,.648
Brett Harris,OAK,3B,25,17,43,7,5,0,0,3,5,0,0,9,13,0,1,2,.116,.291,.326,.617
Rene Pinto,TB,C,27,19,42,5,9,3,0,2,6,0,0,4,18,1,1,1,.214,.292,.429,.721
Miles Mastrobuoni,CHC,3B,28,19,40,5,5,1,0,0,2,0,0,5,9,0,0,0,.125,.222,.150,.372
Kody Clemens,PHI,3B,28,17,39,7,10,3,1,3,10,0,0,2,10,0,0,0,.256,.293,.615,.908
Joey Loperfido,HOU,OF,25,14,39,4,13,1,0,1,5,1,0,3,17,1,0,0,.333,.381,.436,.817
Zack Short,ATL,2B,29,16,39,7,6,2,0,0,3,1,0,8,11,0,0,1,.154,.313,.205,.518
Yoan Moncada,CWS,3B,29,11,39,4,11,3,1,0,0,1,0,5,10,0,0,0,.282,.364,.410,.774
Seby Zavala,SEA,C,30,17,38,4,6,2,0,1,2,0,0,2,15,1,0,0,.158,.200,.289,.489
Austin Shenton,TB,3B,26,17,37,3,7,4,0,1,3,0,0,7,13,0,0,0,.189,.318,.378,.696
Garrett Cooper,CHC,1B,33,12,37,3,10,1,1,1,6,0,0,4,13,0,0,0,.270,.341,.432,.773
Brandon Crawford,STL,SS,37,13,37,3,6,1,0,1,1,0,0,3,14,0,0,0,.162,.225,.270,.495
Joey Wendle,NYM,3B,34,18,36,3,8,1,0,0,1,1,0,1,9,0,0,0,.222,.243,.250,.493
Romy Gonzalez,BOS,2B,27,17,35,2,9,1,1,0,6,2,0,3,7,0,1,0,.257,.308,.343,.651
Jackson Holliday,BAL,SS,20,10,34,5,2,0,0,0,1,0,0,2,18,0,0,0,.059,.111,.059,.170
Casey Schmitt,SF,SS,25,10,34,3,8,1,0,2,5,0,0,0,7,0,0,1,.235,.257,.441,.698
Jonatan Clase,SEA,OF,22,15,34,3,6,1,0,0,3,2,0,1,13,0,0,0,.176,.200,.206,.406
Tom Murphy,SF,C,33,13,34,3,4,1,0,1,2,0,0,4,14,0,0,0,.118,.211,.235,.446
Sean Murphy,ATL,C,29,10,34,2,5,1,0,1,4,0,0,2,9,0,0,1,.147,.216,.265,.481
Zach Remillard,CWS,2B,30,15,33,3,8,1,1,0,1,1,0,5,10,1,0,0,.242,.342,.333,.675
Robbie Grossman,TEX,OF,34,15,33,2,5,1,0,0,4,0,0,7,7,0,1,0,.152,.293,.182,.475
Graham Pauley,SD,3B,23,13,32,4,4,0,0,2,5,0,0,0,15,0,0,0,.125,.125,.313,.438
Blake Sabol,SF,C,26,11,32,3,10,2,0,0,1,0,0,5,9,0,0,1,.313,.421,.375,.796
Curt Casali,SF,C,35,10,31,4,5,0,0,0,2,0,0,5,4,1,0,1,.161,.297,.161,.458
Trevor Story,BOS,SS,31,8,31,1,7,3,0,0,4,1,1,3,9,0,0,0,.226,.294,.323,.617
Andruw Monasterio,MIL,2B,27,16,30,6,4,0,0,1,3,2,0,5,9,0,0,0,.133,.257,.233,.490
Kyle Stowers,BAL,OF,26,15,30,2,9,4,0,0,6,0,1,0,10,0,1,0,.300,.290,.433,.723
Davis Wendzel,TEX,3B,27,18,29,1,2,0,0,1,2,0,0,0,4,0,0,0,.069,.069,.172,.241
DJ LeMahieu,NYY,3B,35,9,29,6,6,0,0,0,0,0,0,7,8,0,0,0,.207,.361,.207,.568
David Peralta,SD,OF,36,13,29,4,7,2,0,0,3,0,0,3,7,0,0,1,.241,.333,.310,.643
Daz Cameron,OAK,OF,27,9,28,3,6,1,0,1,4,1,0,0,4,0,0,0,.214,.214,.357,.571
Owen Miller,MIL,2B,27,14,27,2,5,1,0,0,3,0,0,0,8,0,0,0,.185,.185,.222,.407
Matt Mervis,CHC,1B,26,9,26,1,3,1,0,0,3,0,0,1,8,0,0,0,.115,.148,.154,.302
Joey Wiemer,MIL,OF,25,19,26,2,4,0,0,0,0,1,1,1,9,0,0,0,.154,.185,.154,.339
Ehire Adrianza,LAA,OF,34,8,26,4,5,1,0,1,2,0,0,2,11,0,0,0,.192,.250,.346,.596
Kevin Pillar,CWS,OF,35,17,25,1,4,2,0,1,4,2,0,4,8,1,1,1,.160,.290,.360,.650
Victor Robles,WSH,OF,27,14,25,3,3,0,0,0,2,4,1,5,9,1,1,1,.120,.281,.120,.401
Matt Wallner,MIN,OF,26,13,25,1,2,1,0,1,4,0,0,3,17,0,1,4,.080,.273,.240,.513
Jose Fermin,STL,2B,25,16,25,1,3,0,0,0,0,1,0,2,5,0,0,1,.120,.214,.120,.334
Geraldo Perdomo,ARI,SS,24,7,24,3,6,1,0,0,2,0,0,2,3,0,0,1,.250,.333,.292,.625
Ji Hwan Bae,PIT,OF,24,8,24,5,5,0,0,0,2,2,1,2,7,0,0,0,.208,.269,.208,.477
Marco Luciano,SF,SS,22,10,24,6,9,2,1,0,1,0,0,3,5,0,0,0,.375,.444,.542,.986
Johnathan Rodriguez,CLE,OF,24,8,23,3,3,1,0,0,3,0,0,5,9,0,0,0,.130,.286,.174,.460
Alexander Canario,CHC,DH,24,13,22,4,6,1,0,1,2,1,0,2,11,0,0,1,.273,.360,.455,.815
Tyler Black,MIL,3B,23,7,22,1,5,2,0,0,0,2,0,1,8,0,0,0,.227,.261,.318,.579
Jace Peterson,ARI,3B,34,14,22,2,1,0,0,0,1,0,0,3,6,0,1,0,.045,.154,.045,.199
Jose Iglesias,NYM,SS,34,6,22,3,9,2,0,0,3,1,0,1,3,0,0,0,.409,.435,.500,.935
Trey Cabbage,HOU,OF,27,12,21,4,5,1,0,1,4,0,0,0,6,0,0,0,.238,.238,.429,.667
Akil Baddoo,DET,OF,25,9,21,3,4,1,1,1,2,1,0,3,7,0,1,0,.190,.280,.476,.756
Miguel Vargas,LAD,2B,24,7,20,5,5,3,0,1,3,1,0,2,5,0,0,0,.250,.318,.550,.868
Ryan Bliss,SEA,SS,24,9,20,5,4,0,0,1,2,3,0,4,5,0,0,0,.200,.333,.350,.683
Pedro Pages,STL,C,25,11,20,1,1,1,0,0,4,0,0,4,8,0,1,0,.050,.200,.100,.300
Luis Guillorme,ATL,2B,29,10,20,2,3,2,0,0,3,0,0,1,5,0,0,0,.150,.190,.250,.440
Addison Barger,TOR,OF,24,5,18,1,1,0,0,0,0,0,0,0,6,0,0,0,.056,.056,.056,.112
Bubba Thompson,CIN,OF,26,17,18,5,2,1,0,0,0,5,0,0,11,0,0,0,.111,.111,.167,.278
Oscar Colas,CWS,OF,25,7,17,1,4,0,0,0,3,0,0,2,4,0,0,1,.235,.350,.235,.585
Josh Jung,TEX,3B,26,4,17,5,7,1,1,2,6,1,0,2,4,0,0,0,.412,.474,.941,1.415
Alex Call,WSH,OF,29,7,16,6,5,1,0,0,1,1,0,3,5,0,0,2,.313,.476,.375,.851
Niko Goodrum,TB,SS,32,9,16,1,3,0,0,0,0,0,1,1,6,1,0,0,.188,.235,.188,.423
Sam Haggerty,SEA,OF,30,8,15,1,1,0,0,0,1,1,0,1,4,0,0,0,.067,.125,.067,.192
Royce Lewis,MIN,3B,25,5,15,3,5,0,0,3,3,0,0,2,4,0,0,0,.333,.412,.933,1.345
Heston Kjerstad,BAL,DH,25,7,14,0,2,0,0,0,0,0,0,2,6,0,0,1,.143,.294,.143,.437
Alek Thomas,ARI,OF,24,4,14,2,3,1,0,1,4,0,0,0,3,0,0,0,.214,.214,.500,.714
Connor Norby,BAL,2B,24,4,14,2,3,0,0,1,2,0,0,0,3,0,0,0,.214,.214,.429,.643
Justyn-Henry Malloy,DET,OF,24,5,14,1,2,0,0,1,1,0,0,3,6,0,0,0,.143,.294,.357,.651
Rafael Ortega,CWS,OF,33,14,14,4,1,0,0,0,1,2,0,2,4,0,1,0,.071,.176,.071,.247
Niko Goodrum,LAA,SS,32,4,13,1,0,0,0,0,0,1,0,2,4,0,0,0,.000,.133,.000,.133
Luis Torrens,NYM,C,28,5,13,3,4,1,0,2,4,0,0,1,4,0,0,0,.308,.357,.846,1.203
Drew Millas,WSH,C,26,4,13,0,1,0,0,0,0,1,0,1,4,0,0,0,.077,.143,.077,.220
Jonah Bride,MIA,3B,28,7,12,1,2,1,0,0,2,0,0,1,2,0,0,0,.167,.231,.250,.481
Jakson Reetz,SF,C,28,5,12,1,1,0,0,1,1,0,0,0,4,0,0,0,.083,.083,.333,.416
David Bote,CHC,2B,31,5,12,2,3,1,0,0,1,0,0,0,4,0,0,0,.250,.250,.333,.583
Aledmys Diaz,OAK,SS,33,4,11,1,1,0,0,0,1,0,0,0,2,0,0,0,.091,.091,.091,.182
Daniel Schneemann,CLE,3B,27,5,11,1,5,1,1,0,2,0,0,4,3,0,0,0,.455,.600,.727,1.327
Zach DeLoach,CWS,OF,25,5,11,1,1,1,0,0,1,0,0,3,5,0,0,0,.091,.286,.182,.468
Grae Kessinger,HOU,SS,26,12,11,1,0,0,0,0,0,0,0,0,5,0,0,0,.000,.000,.000,.000
Buddy Kennedy,DET,3B,25,6,10,2,2,0,0,1,4,1,0,2,4,0,1,0,.200,.308,.500,.808
Jorge Barrosa,ARI,OF,23,3,10,1,2,1,0,0,1,0,0,0,1,0,0,0,.200,.200,.300,.500
Jamie Westbrook,BOS,OF,28,6,10,1,2,0,0,1,1,0,0,2,4,0,0,1,.200,.385,.500,.885
Tony Kemp,BAL,2B,32,5,9,1,0,0,0,0,0,0,0,1,1,0,0,0,.000,.100,.000,.100
Derek Hill,TEX,OF,28,5,9,1,2,0,0,0,0,1,1,1,2,0,0,0,.222,.300,.222,.522
Jahmai Jones,NYY,DH,26,15,9,2,2,0,0,1,1,1,0,1,4,0,0,1,.222,.364,.556,.920
Zack Short,NYM,2B,29,10,9,2,1,0,0,0,0,0,1,2,4,1,0,0,.111,.273,.111,.384
Trenton Brooks,SF,1B,28,5,9,2,1,0,0,0,0,0,0,2,3,0,0,0,.111,.273,.111,.384
Ryan Vilade,DET,OF,25,4,9,0,2,0,0,0,3,0,0,1,1,0,0,0,.222,.300,.222,.522
Conner Capel,CIN,OF,27,5,8,1,2,0,0,0,0,1,0,0,2,0,0,0,.250,.250,.250,.500
Nasim Nunez,WSH,SS,23,16,8,5,0,0,0,0,0,2,1,0,3,0,0,0,.000,.000,.000,.000
Ryan McKenna,BAL,OF,27,9,8,3,3,0,0,2,2,0,1,1,1,0,0,0,.375,.444,1.125,1.569
David Fletcher,ATL,2B,30,5,8,0,2,0,0,0,2,0,0,0,1,0,1,0,.250,.222,.250,.472
Brian Serven,TOR,C,29,7,8,1,0,0,0,0,0,0,0,1,4,0,0,1,.000,.200,.000,.200
Zack Short,BOS,2B,29,2,7,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000
Blake Dunn,CIN,OF,25,5,7,4,1,1,0,0,0,0,0,1,1,0,0,0,.143,.250,.286,.536
Taylor Walls,TB,SS,27,2,7,0,2,1,0,0,0,0,0,0,4,0,0,0,.286,.286,.429,.715
Grant Koch,PIT,C,27,3,7,1,0,0,0,0,0,0,0,1,6,0,0,0,.000,.125,.000,.125
Taylor Trammell,LAD,OF,26,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Xavier Edwards,MIA,2B,24,2,6,0,1,0,0,0,0,0,0,2,2,0,0,0,.167,.375,.167,.542
Ryan McKenna,SF,OF,27,4,6,1,0,0,0,0,0,1,0,0,4,0,0,0,.000,.000,.000,.000
Leonardo Rivas,SEA,2B,26,5,6,2,2,0,1,0,0,0,0,0,3,0,0,0,.333,.333,.667,1.000
Tristan Gray,MIA,1B,28,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Victor Robles,SEA,OF,27,3,5,1,1,1,0,0,1,0,0,0,2,0,0,1,.200,.333,.400,.733
Jhonny Pereda,MIA,C,28,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
David Dahl,PHI,OF,30,2,5,2,3,1,0,1,1,0,0,0,1,0,0,0,.600,.600,1.400,2.000
J.P. Martinez,ATL,OF,28,4,5,1,1,1,0,0,0,0,0,0,2,0,0,0,.200,.200,.400,.600
Samad Taylor,SEA,2B,25,3,5,2,2,0,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800
Jair Camargo,MIN,C,24,2,4,1,0,0,0,0,0,0,0,1,2,0,0,0,.000,.200,.000,.200
Matthew Batten,SD,3B,28,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,.333,.333,1.000,1.333
Duke Ellis,CWS,OF,26,5,3,0,0,0,0,0,0,3,0,0,1,0,0,0,.000,.000,.000,.000
Brian Anderson,ATL,3B,31,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jason Delay,PIT,C,29,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,.000,.250,.000,.250
Luke Williams,ATL,SS,27,8,3,1,0,0,0,0,0,0,0,0,2,0,0,1,.000,.250,.000,.250
Brett Sullivan,SD,C,30,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Spencer Horwitz,TOR,1B,26,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,.333,.000,.333
Justin Foscue,TEX,2B,25,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
Michael Stefanic,LAA,2B,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Jonathan Ornelas,TEX,SS,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Chris Roller,MIL,OF,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Jacob Amaya,HOU,SS,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Luis Vazquez,CHC,SS,24,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
David Banuelos,BAL,C,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Taylor Trammell,NYY,OF,26,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000
Forrest Wall,ATL,OF,28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Tyler Heineman,BOS,C,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500